TABLE AGENCIES,,,,,,,
agency_id,agency_name,agency_type,distribution_channel,,,,
1,CBH,Travel Agency,Offline,,,,
2,CWT,Travel Agency,Online,,,,
3,JZI,Airlines,Online,,,,
4,KML,Travel Agency,Online,,,,
5,EPX,Travel Agency,Online,,,,
6,C2B,Airlines,Online,,,,
7,JWT,Airlines,Online,,,,
8,RAB,Airlines,Online,,,,
9,SSI,Airlines,Online,,,,
10,ART,Airlines,Online,,,,
11,CSR,Travel Agency,Offline,,,,
12,CCR,Travel Agency,Offline,,,,
13,ADM,Travel Agency,Online,,,,
14,LWC,Travel Agency,Online,,,,
15,TTW,Travel Agency,Offline,,,,
16,TST,Travel Agency,Offline,,,,
,,,,,,,
TABLE PRODUCTS,,,,,,,
product_id,product_name,,,,,,
1,Comprehensive Plan,,,,,,
2,Rental Vehicle Excess Insurance,,,,,,
3,Value Plan,,,,,,
4,Basic Plan,,,,,,
5,Premier Plan,,,,,,
6,2 Way Comprehensive Plan,,,,,,
7,Bronze Plan,,,,,,
8,Silver Plan,,,,,,
9,Annual Silver Plan,,,,,,
10,Cancellation Plan,,,,,,
11,1 Way Comprehensive Plan,,,,,,
12,Ticket Protector,,,,,,
13,24 Protect,,,,,,
14,Gold Plan,,,,,,
15,Annual Gold Plan,,,,,,
16,Single Trip Travel Protect Silver,,,,,,
17,Individual Comprehensive Plan,,,,,,
18,Spouse or Parents Comprehensive Plan,,,,,,
19,Annual Travel Protect Silver,,,,,,
20,Single Trip Travel Protect Platinum,,,,,,
21,Annual Travel Protect Gold,,,,,,
22,Single Trip Travel Protect Gold,,,,,,
23,Annual Travel Protect Platinum,,,,,,
24,Child Comprehensive Plan,,,,,,
25,Travel Cruise Protect,,,,,,
26,Travel Cruise Protect Family,,,,,,
,,,,,,,
TABLE SALES,,,,,,,
sale_id,agency_id,product_id,claim_status,duration,destination,net_sales,commission
1,1,1,No,186,Malaysia,-29,9.57
2,1,1,No,186,Malaysia,-29,9.57
3,2,2,No,65,Australia,-50,29.70
4,2,2,No,60,Australia,-40,23.76
5,2,2,No,79,Italy,-20,11.88
6,3,3,No,66,United States,-121,42.35
7,2,2,No,47,United States,-40,23.76
8,2,2,No,63,Australia,-109,65.34
9,2,2,No,57,Thailand,-20,11.88
10,2,2,No,186,Australia,-99,59.40
11,3,4,No,33,Korea,-26,9.10
12,3,4,No,1,Malaysia,-18,6.30
13,4,5,No,53,Norway,-130,49.40
14,2,2,No,5,Malaysia,-40,23.76
15,5,6,No,39,Vietnam,-25,0.00
16,2,2,No,6,Denmark,-20,11.88
17,2,2,No,48,Denmark,-79,47.52
18,2,2,No,11,United States,-30,17.82
19,3,4,No,3,Malaysia,-18,6.30
20,2,2,No,14,Thailand,-69,41.58
21,2,2,No,136,Norway,-109,65.34
22,6,7,No,12,Singapore,46,11.54
23,6,7,No,7,Singapore,18,4.39
24,6,7,Yes,12,Singapore,94,23.50
25,6,8,No,190,Singapore,295,73.69
26,6,9,No,364,Singapore,389,97.25
27,2,2,No,29,United States,10,5.94
28,2,2,No,28,United States,10,5.94
29,2,2,No,153,Japan,69,41.58
30,2,2,No,28,United Kingdom,20,11.88
31,2,2,No,4,United Kingdom,30,17.82
32,2,2,No,54,Australia,0,41.58
33,2,2,No,24,Australia,89,53.46
34,5,6,No,9,Indonesia,25,0.00
35,5,6,No,12,Malaysia,24,0.00
36,5,6,No,45,Malaysia,20,0.00
37,5,6,No,35,India,27,0.00
38,5,6,No,28,Thailand,20,0.00
39,5,6,No,24,China,43,0.00
40,5,6,No,8,France,78,0.00
41,5,6,No,183,Indonesia,20,0.00
42,5,6,No,36,Taiwan,22,0.00
43,5,6,No,3,Vietnam,27,0.00
44,5,6,No,38,Singapore,41,0.00
45,5,6,No,36,United States,95,0.00
46,5,6,No,4,Thailand,20,0.00
47,5,6,No,3,Malaysia,20,0.00
48,5,6,No,13,Thailand,35,0.00
49,5,6,No,11,Philippines,43,0.00
50,5,6,No,27,Indonesia,20,0.00
51,5,6,No,16,Myanmar,47,0.00
52,5,6,No,12,China,29,0.00
53,5,6,No,39,Indonesia,20,0.00
54,5,6,No,19,Malaysia,20,0.00
55,5,6,No,18,Hong Kong,30,0.00
56,5,6,No,189,Malaysia,20,0.00
57,5,6,No,105,Japan,44,0.00
58,5,6,No,23,Korea,57,0.00
59,5,6,No,57,United Arab Emirates,37,0.00
60,5,6,No,29,Taiwan,46,0.00
61,5,10,No,1,India,10,0.00
62,5,10,No,15,Myanmar,16,0.00
63,5,10,No,16,Japan,28,0.00
64,5,10,No,180,Philippines,21,0.00
65,5,10,No,90,Hong Kong,37,0.00
66,5,10,No,91,Philippines,18,0.00
67,5,10,No,2,Singapore,14,0.00
68,5,10,No,17,Thailand,19,0.00
69,5,10,No,10,Philippines,37,0.00
70,5,10,No,11,Thailand,10,0.00
71,5,10,No,279,Namibia,80,0.00
72,5,10,No,36,Taiwan,16,0.00
73,5,10,No,12,United States,39,0.00
74,5,10,No,18,Vietnam,14,0.00
75,5,10,No,6,India,25,0.00
76,5,10,No,2,Malaysia,10,0.00
77,5,10,No,18,Thailand,10,0.00
78,5,10,No,2,Hong Kong,10,0.00
79,5,10,No,39,Singapore,68,0.00
80,5,10,No,4,United States,17,0.00
81,5,10,No,38,Korea,0,0.00
82,5,10,No,10,Korea,23,0.00
83,5,10,No,92,New Zealand,80,0.00
84,5,10,No,22,Costa Rica,80,0.00
85,5,10,No,10,Thailand,10,0.00
86,5,10,No,64,Malaysia,10,0.00
87,5,10,No,7,Malaysia,15,0.00
88,5,10,No,8,Vietnam,0,0.00
89,5,10,No,37,Thailand,30,0.00
90,5,10,No,2,Korea,16,0.00
91,5,10,No,31,Korea,58,0.00
92,5,10,No,41,Japan,20,0.00
93,5,10,No,6,Malaysia,10,0.00
94,5,10,No,8,Indonesia,17,0.00
95,5,10,No,5,Indonesia,37,0.00
96,5,10,No,126,China,27,0.00
97,5,10,No,10,Myanmar,51,0.00
98,5,10,No,29,Philippines,13,0.00
99,5,11,No,50,Australia,24,0.00
100,5,11,No,1,Vietnam,20,0.00
101,5,11,No,2,China,26,0.00
102,5,11,No,1,Singapore,86,0.00
103,5,11,No,8,New Zealand,28,0.00
104,5,11,No,19,Malaysia,20,0.00
105,5,11,No,24,Korea,90,0.00
106,7,3,No,11,India,50,20.00
107,8,3,No,4,Brunei Darussalam,15,6.00
108,9,12,No,55,Singapore,21,5.98
109,9,12,No,15,Singapore,7,1.82
110,3,4,No,45,Australia,26,9.10
111,3,4,No,181,Indonesia,30,10.50
112,3,4,No,5,Indonesia,22,7.70
113,3,4,No,22,Thailand,18,6.30
114,3,4,No,76,Australia,35,12.25
115,3,4,No,41,China,44,15.40
116,3,4,No,43,Thailand,22,7.70
117,3,4,No,5,China,22,7.70
118,10,13,No,56,Philippines,76,26.59
119,10,13,No,3,Singapore,13,4.38
120,10,13,No,3,Malaysia,5,1.75
121,6,7,No,20,Singapore,47,11.75
122,6,7,No,29,Singapore,27,6.75
123,6,7,No,164,Singapore,70,17.39
124,6,7,No,23,Singapore,31,7.64
125,6,8,No,13,Singapore,20,4.88
126,6,8,No,29,Singapore,32,7.96
127,6,14,No,23,Singapore,77,19.34
128,2,2,No,23,Malaysia,30,17.82
129,2,2,No,29,Australia,40,23.76
130,2,2,No,5,Malaysia,0,29.70
131,2,2,No,26,United States,149,89.10
132,2,2,No,26,Thailand,30,17.82
133,2,2,No,152,United States,10,5.94
134,2,2,No,48,Australia,59,35.64
135,2,2,No,5,Malaysia,40,23.76
136,2,2,No,30,Malaysia,59,35.64
137,2,2,No,9,Thailand,50,29.70
138,2,2,No,32,Malaysia,50,29.70
139,2,2,No,8,Malaysia,40,23.76
140,2,2,No,4,Malaysia,20,11.88
141,2,2,No,111,Australia,89,53.46
142,2,2,No,34,Australia,20,11.88
143,2,2,No,19,Malaysia,40,23.76
144,2,2,No,20,Australia,149,89.10
145,2,2,No,201,Australia,0,77.22
146,2,2,No,2,Singapore,10,5.94
147,5,6,No,4,Vietnam,20,0.00
148,5,6,No,13,Thailand,20,0.00
149,5,6,No,39,Poland,69,0.00
150,5,6,No,10,Hong Kong,20,0.00
151,5,6,No,48,Malaysia,20,0.00
152,5,6,No,62,Taiwan,22,0.00
153,5,6,No,4,Malaysia,20,0.00
154,5,6,No,90,Korea,42,0.00
155,5,6,No,10,Philippines,56,0.00
156,5,6,No,13,Malaysia,20,0.00
157,5,6,No,19,Thailand,20,0.00
158,5,6,No,3,Singapore,20,0.00
159,5,6,No,18,Thailand,20,0.00
160,5,6,No,18,Vietnam,20,0.00
161,5,6,No,22,China,69,0.00
162,5,6,No,6,China,36,0.00
163,5,6,No,11,Malaysia,20,0.00
164,5,6,No,18,Japan,112,0.00
165,5,6,No,12,China,27,0.00
166,5,6,No,81,Korea,32,0.00
167,5,6,No,36,Singapore,67,0.00
168,5,6,No,28,Singapore,20,0.00
169,5,6,No,57,Korea,53,0.00
170,5,6,No,42,Malaysia,20,0.00
171,5,6,No,91,Japan,44,0.00
172,5,6,No,7,Hong Kong,20,0.00
173,5,6,No,12,Malaysia,20,0.00
174,5,6,No,49,Malaysia,20,0.00
175,5,6,No,13,Indonesia,20,0.00
176,5,6,No,28,India,50,0.00
177,5,6,No,124,Japan,89,0.00
178,5,10,No,7,Malaysia,16,0.00
